timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/20 11:25:26.654, 0, 1, 23040, 63, 82.63
2026/04/20 11:25:27.659, 0, 1, 23040, 63, 81.45
2026/04/20 11:25:28.663, 0, 3, 23040, 61, 59.10
2026/04/20 11:25:29.668, 23, 12719, 23040, 61, 69.54
2026/04/20 11:25:30.673, 76, 12719, 23040, 62, 83.93
2026/04/20 11:25:31.678, 0, 19687, 23040, 62, 81.01
2026/04/20 11:25:32.683, 89, 19687, 23040, 68, 245.50
2026/04/20 11:25:33.688, 98, 19687, 23040, 70, 251.98
2026/04/20 11:25:34.708, 100, 19687, 23040, 71, 250.46
2026/04/20 11:25:35.713, 100, 19687, 23040, 72, 252.35
2026/04/20 11:25:36.718, 93, 19687, 23040, 72, 247.52
2026/04/20 11:25:37.724, 81, 19687, 23040, 72, 256.41
2026/04/20 11:25:38.729, 81, 19687, 23040, 70, 110.02
2026/04/20 11:25:39.736, 100, 19687, 23040, 74, 244.58
2026/04/20 11:25:40.741, 92, 19687, 23040, 74, 242.02
2026/04/20 11:25:41.746, 81, 19687, 23040, 72, 124.28
2026/04/20 11:25:42.750, 100, 19687, 23040, 75, 242.79
2026/04/20 11:25:43.756, 70, 19687, 23040, 72, 126.07
2026/04/20 11:25:44.763, 100, 19687, 23040, 75, 239.99
2026/04/20 11:25:45.769, 75, 19687, 23040, 73, 147.88
2026/04/20 11:25:46.780, 98, 19687, 23040, 76, 242.65
2026/04/20 11:25:47.790, 100, 19687, 23040, 76, 242.26
2026/04/20 11:25:48.794, 62, 19687, 23040, 74, 185.60
2026/04/20 11:25:49.799, 100, 19687, 23040, 77, 246.85
2026/04/20 11:25:50.808, 100, 19687, 23040, 77, 243.27
2026/04/20 11:25:51.815, 52, 19687, 23040, 74, 125.80
2026/04/20 11:25:52.820, 93, 19687, 23040, 77, 242.78
2026/04/20 11:25:53.825, 100, 19687, 23040, 78, 244.66
2026/04/20 11:25:54.830, 100, 19687, 23040, 78, 247.72
2026/04/20 11:25:55.836, 60, 19687, 23040, 76, 132.67
2026/04/20 11:25:56.841, 59, 19687, 23040, 77, 171.56
2026/04/20 11:25:57.846, 93, 19687, 23040, 79, 246.08
