timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/20 12:17:34.340, 0, 0, 16311, 38, 3.81
2026/04/20 12:17:35.357, 0, 0, 16311, 38, 3.85
2026/04/20 12:17:36.357, 0, 0, 16311, 38, 4.76
2026/04/20 12:17:37.358, 0, 3, 16311, 38, 5.74
2026/04/20 12:17:38.358, 0, 6529, 16311, 39, 9.63
2026/04/20 12:17:39.358, 63, 6529, 16311, 40, 25.37
2026/04/20 12:17:40.359, 0, 12741, 16311, 41, 24.16
2026/04/20 12:17:41.359, 0, 12741, 16311, 49, 103.85
2026/04/20 12:17:42.359, 70, 12741, 16311, 62, 113.77
2026/04/20 12:17:43.360, 95, 12741, 16311, 54, 127.44
2026/04/20 12:17:44.360, 100, 12741, 16311, 49, 126.51
2026/04/20 12:17:45.360, 100, 12741, 16311, 50, 132.87
2026/04/20 12:17:46.361, 100, 12741, 16311, 50, 126.23
2026/04/20 12:17:47.361, 100, 12741, 16311, 53, 123.14
2026/04/20 12:17:48.362, 100, 12741, 16311, 64, 131.87
2026/04/20 12:17:49.362, 81, 12741, 16311, 63, 136.63
2026/04/20 12:17:50.362, 71, 12741, 16311, 50, 124.99
2026/04/20 12:17:51.363, 100, 12741, 16311, 64, 139.26
2026/04/20 12:17:52.363, 72, 12741, 16311, 51, 131.47
2026/04/20 12:17:53.363, 100, 12741, 16311, 64, 135.06
2026/04/20 12:17:54.363, 74, 12741, 16311, 50, 123.52
2026/04/20 12:17:55.364, 100, 12741, 16311, 63, 151.81
2026/04/20 12:17:56.364, 59, 12741, 16311, 64, 125.64
2026/04/20 12:17:57.364, 75, 12741, 16311, 52, 127.35
2026/04/20 12:17:58.365, 100, 12741, 16311, 60, 149.77
2026/04/20 12:17:59.365, 100, 12741, 16311, 64, 141.91
2026/04/20 12:18:00.365, 62, 12741, 16311, 64, 124.79
2026/04/20 12:18:01.366, 72, 12741, 16311, 52, 122.03
2026/04/20 12:18:02.366, 100, 12741, 16311, 51, 135.70
2026/04/20 12:18:03.366, 100, 12741, 16311, 54, 147.45
2026/04/20 12:18:04.366, 100, 12741, 16311, 63, 143.76
2026/04/20 12:18:05.367, 100, 12741, 16311, 64, 146.21
2026/04/20 12:18:06.367, 59, 12741, 16311, 64, 139.43
2026/04/20 12:18:07.368, 45, 12741, 16311, 65, 136.18
2026/04/20 12:18:08.368, 76, 12741, 16311, 65, 129.97
2026/04/20 12:18:09.368, 74, 12741, 16311, 65, 136.55
2026/04/20 12:18:10.369, 72, 12741, 16311, 52, 139.62
2026/04/20 12:18:11.369, 100, 12741, 16311, 51, 146.03
2026/04/20 12:18:12.369, 100, 12741, 16311, 51, 144.35
2026/04/20 12:18:13.369, 100, 12741, 16311, 54, 139.47
2026/04/20 12:18:14.370, 100, 12741, 16311, 55, 140.26
2026/04/20 12:18:15.370, 100, 12741, 16311, 53, 138.49
2026/04/20 12:18:16.370, 93, 12741, 16311, 52, 143.72
2026/04/20 12:18:17.371, 80, 12741, 16311, 61, 138.51
2026/04/20 12:18:18.371, 77, 12741, 16311, 66, 137.85
2026/04/20 12:18:19.371, 74, 12741, 16311, 66, 141.37
2026/04/20 12:18:20.372, 75, 12741, 16311, 66, 140.18
2026/04/20 12:18:21.372, 23, 12741, 16311, 66, 136.40
2026/04/20 12:18:22.372, 100, 12741, 16311, 65, 142.41
2026/04/20 12:18:23.373, 100, 12741, 16311, 62, 148.66
2026/04/20 12:18:24.373, 100, 12741, 16311, 54, 144.08
2026/04/20 12:18:25.373, 100, 12741, 16311, 54, 141.24
2026/04/20 12:18:26.374, 98, 12741, 16311, 57, 132.58
2026/04/20 12:18:27.374, 75, 12741, 16311, 66, 138.94
2026/04/20 12:18:28.374, 77, 12741, 16311, 66, 131.32
2026/04/20 12:18:29.375, 99, 12741, 16311, 65, 140.62
2026/04/20 12:18:30.375, 100, 12741, 16311, 54, 147.69
2026/04/20 12:18:31.375, 100, 12741, 16311, 52, 158.21
2026/04/20 12:18:32.376, 100, 12741, 16311, 66, 135.77
2026/04/20 12:18:33.376, 0, 12741, 16311, 48, 79.48
2026/04/20 12:18:34.378, 0, 12741, 16311, 47, 37.41
2026/04/20 12:18:35.379, 0, 12741, 16311, 48, 29.24
2026/04/20 12:18:36.380, 26, 12741, 16311, 46, 29.36
2026/04/20 12:18:37.380, 0, 12741, 16311, 46, 33.34
2026/04/20 12:18:38.380, 0, 12741, 16311, 48, 30.09
2026/04/20 12:18:39.381, 20, 12741, 16311, 46, 27.99
2026/04/20 12:18:40.382, 1, 12741, 16311, 45, 34.23
2026/04/20 12:18:41.382, 0, 12741, 16311, 45, 31.47
2026/04/20 12:18:42.383, 0, 12741, 16311, 45, 28.73
2026/04/20 12:18:43.384, 33, 12741, 16311, 45, 30.09
2026/04/20 12:18:44.384, 0, 12741, 16311, 44, 31.43
2026/04/20 12:18:45.385, 0, 12741, 16311, 44, 28.67
2026/04/20 12:18:46.386, 0, 12741, 16311, 45, 27.71
2026/04/20 12:18:47.386, 33, 12741, 16311, 44, 32.37
2026/04/20 12:18:48.387, 0, 12741, 16311, 44, 32.22
2026/04/20 12:18:49.387, 0, 12741, 16311, 45, 27.57
2026/04/20 12:18:50.388, 23, 12741, 16311, 44, 28.30
2026/04/20 12:18:51.388, 0, 12741, 16311, 43, 33.72
2026/04/20 12:18:52.389, 0, 12741, 16311, 43, 31.66
2026/04/20 12:18:53.389, 0, 12741, 16311, 45, 28.25
2026/04/20 12:18:54.390, 28, 12741, 16311, 43, 28.92
2026/04/20 12:18:55.390, 0, 12741, 16311, 43, 31.65
2026/04/20 12:18:56.391, 0, 12741, 16311, 46, 28.50
2026/04/20 12:18:57.392, 0, 12741, 16311, 43, 28.13
2026/04/20 12:18:58.392, 20, 12741, 16311, 42, 33.45
2026/04/20 12:18:59.393, 0, 12741, 16311, 42, 28.12
2026/04/20 12:19:00.394, 0, 12741, 16311, 44, 27.09
2026/04/20 12:19:01.395, 11, 12741, 16311, 43, 28.03
2026/04/20 12:19:02.395, 23, 12741, 16311, 42, 29.97
2026/04/20 12:19:03.395, 0, 12741, 16311, 42, 29.88
2026/04/20 12:19:04.396, 0, 12741, 16311, 42, 28.89
2026/04/20 12:19:05.397, 0, 12741, 16311, 43, 26.96
2026/04/20 12:19:06.397, 33, 12741, 16311, 42, 28.32
2026/04/20 12:19:07.397, 0, 12741, 16311, 42, 31.50
2026/04/20 12:19:08.398, 0, 12741, 16311, 44, 27.81
2026/04/20 12:19:09.399, 0, 12741, 16311, 42, 26.89
2026/04/20 12:19:10.400, 23, 12741, 16311, 42, 32.97
2026/04/20 12:19:11.400, 0, 12741, 16311, 41, 31.59
2026/04/20 12:19:12.401, 0, 12741, 16311, 44, 26.82
2026/04/20 12:19:13.401, 0, 12741, 16311, 42, 26.84
2026/04/20 12:19:14.402, 13, 12741, 16311, 41, 32.89
2026/04/20 12:19:15.402, 0, 12741, 16311, 41, 31.58
2026/04/20 12:19:16.403, 0, 12741, 16311, 43, 27.60
2026/04/20 12:19:17.404, 22, 12741, 16311, 41, 27.63
2026/04/20 12:19:18.404, 22, 12741, 16311, 41, 32.81
2026/04/20 12:19:19.405, 0, 12741, 16311, 41, 31.48
2026/04/20 12:19:20.406, 0, 12741, 16311, 44, 26.73
2026/04/20 12:19:21.407, 0, 12741, 16311, 41, 27.54
