timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/22 03:09:40.139, 0, 0, 32768, 58, 79.42
2026/04/22 03:09:41.140, 0, 0, 32768, 57, 78.99
2026/04/22 03:09:42.142, 0, 4, 32768, 56, 49.57
2026/04/22 03:09:43.144, 9, 14492, 32768, 56, 68.34
2026/04/22 03:09:44.146, 41, 14492, 32768, 56, 78.93
2026/04/22 03:09:45.147, 41, 14492, 32768, 55, 78.93
2026/04/22 03:09:46.148, 38, 14492, 32768, 55, 77.64
2026/04/22 03:09:47.150, 100, 22632, 32768, 58, 284.01
2026/04/22 03:09:48.155, 100, 22632, 32768, 59, 286.20
2026/04/22 03:09:49.158, 100, 22632, 32768, 60, 289.45
2026/04/22 03:09:50.162, 100, 22632, 32768, 60, 286.68
2026/04/22 03:09:51.164, 100, 22632, 32768, 61, 293.55
2026/04/22 03:09:52.165, 100, 22632, 32768, 61, 289.54
2026/04/22 03:09:53.167, 100, 22632, 32768, 61, 252.24
2026/04/22 03:09:54.169, 100, 22632, 32768, 62, 288.97
2026/04/22 03:09:55.170, 100, 22632, 32768, 62, 294.50
2026/04/22 03:09:56.172, 100, 22632, 32768, 62, 294.11
2026/04/22 03:09:57.174, 100, 22632, 32768, 63, 297.84
2026/04/22 03:09:58.178, 100, 22632, 32768, 63, 289.54
2026/04/22 03:09:59.182, 100, 22632, 32768, 63, 291.05
2026/04/22 03:10:00.184, 100, 22632, 32768, 63, 293.99
2026/04/22 03:10:01.185, 100, 22632, 32768, 63, 292.76
2026/04/22 03:10:02.187, 100, 22632, 32768, 64, 278.01
2026/04/22 03:10:03.190, 100, 22632, 32768, 63, 287.05
2026/04/22 03:10:04.192, 100, 22632, 32768, 64, 295.42
2026/04/22 03:10:05.198, 100, 22632, 32768, 64, 289.43
2026/04/22 03:10:06.200, 100, 22632, 32768, 64, 283.91
2026/04/22 03:10:07.202, 100, 22632, 32768, 63, 278.20
2026/04/22 03:10:08.203, 100, 22632, 32768, 64, 290.19
2026/04/22 03:10:09.205, 100, 22632, 32768, 64, 284.95
2026/04/22 03:10:10.209, 100, 22632, 32768, 64, 282.01
2026/04/22 03:10:11.215, 100, 22632, 32768, 64, 289.15
2026/04/22 03:10:12.219, 100, 22632, 32768, 64, 269.63
2026/04/22 03:10:13.223, 100, 22632, 32768, 64, 296.84
2026/04/22 03:10:14.226, 100, 22632, 32768, 63, 238.36
2026/04/22 03:10:15.227, 100, 22632, 32768, 64, 285.43
2026/04/22 03:10:16.229, 100, 22632, 32768, 64, 289.43
2026/04/22 03:10:17.232, 100, 22632, 32768, 64, 290.19
2026/04/22 03:10:18.234, 100, 22632, 32768, 64, 297.79
2026/04/22 03:10:19.237, 95, 22632, 32768, 63, 242.50
2026/04/22 03:10:20.238, 95, 22632, 32768, 62, 267.42
