timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/22 04:50:14.446, 0, 0, 32768, 55, 80.48
2026/04/22 04:50:15.448, 0, 0, 32768, 55, 80.43
2026/04/22 04:50:16.450, 0, 4, 32768, 53, 51.36
2026/04/22 04:50:17.451, 0, 4, 32768, 53, 51.40
2026/04/22 04:50:18.453, 0, 4, 32768, 53, 50.39
2026/04/22 04:50:19.455, 0, 4, 32768, 52, 49.93
2026/04/22 04:50:20.456, 0, 4, 32768, 52, 49.90
2026/04/22 04:50:21.458, 0, 4, 32768, 52, 49.93
2026/04/22 04:50:22.460, 0, 4, 32768, 52, 49.93
2026/04/22 04:50:23.462, 0, 4, 32768, 51, 49.93
2026/04/22 04:50:24.463, 0, 4, 32768, 51, 49.93
2026/04/22 04:50:25.465, 0, 4, 32768, 51, 49.93
2026/04/22 04:50:26.467, 28, 8462, 32768, 51, 67.86
2026/04/22 04:50:27.468, 41, 8462, 32768, 52, 77.56
2026/04/22 04:50:28.470, 4, 14986, 32768, 52, 79.02
2026/04/22 04:50:29.472, 100, 16602, 32768, 57, 290.70
2026/04/22 04:50:30.474, 100, 16602, 32768, 58, 286.39
2026/04/22 04:50:31.476, 100, 16602, 32768, 59, 290.51
2026/04/22 04:50:32.478, 100, 16602, 32768, 59, 284.67
2026/04/22 04:50:33.479, 100, 16602, 32768, 60, 259.93
2026/04/22 04:50:34.481, 100, 16602, 32768, 60, 292.23
2026/04/22 04:50:35.486, 100, 16602, 32768, 60, 282.85
2026/04/22 04:50:36.490, 100, 16602, 32768, 61, 299.20
2026/04/22 04:50:37.494, 100, 16602, 32768, 61, 289.84
2026/04/22 04:50:38.500, 100, 16602, 32768, 61, 292.90
2026/04/22 04:50:39.501, 100, 16602, 32768, 62, 301.31
2026/04/22 04:50:40.503, 100, 16602, 32768, 62, 289.92
2026/04/22 04:50:41.505, 100, 16602, 32768, 62, 286.01
2026/04/22 04:50:42.507, 100, 16602, 32768, 62, 301.51
2026/04/22 04:50:43.509, 100, 16602, 32768, 62, 292.23
2026/04/22 04:50:44.511, 100, 16602, 32768, 62, 288.40
2026/04/22 04:50:45.514, 100, 16602, 32768, 62, 244.76
2026/04/22 04:50:46.516, 100, 16602, 32768, 62, 283.71
2026/04/22 04:50:47.517, 100, 16602, 32768, 62, 298.16
2026/04/22 04:50:48.519, 100, 16602, 32768, 62, 283.62
2026/04/22 04:50:49.522, 100, 16602, 32768, 62, 290.99
2026/04/22 04:50:50.525, 100, 16602, 32768, 62, 283.62
2026/04/22 04:50:51.526, 100, 16602, 32768, 62, 281.90
2026/04/22 04:50:52.529, 100, 16602, 32768, 62, 304.25
2026/04/22 04:50:53.531, 100, 16602, 32768, 62, 272.88
2026/04/22 04:50:54.532, 100, 16602, 32768, 62, 287.64
2026/04/22 04:50:55.534, 100, 16602, 32768, 62, 271.37
2026/04/22 04:50:56.536, 100, 16602, 32768, 63, 288.60
2026/04/22 04:50:57.551, 100, 16602, 32768, 63, 294.62
2026/04/22 04:50:58.552, 100, 16602, 32768, 62, 292.90
2026/04/22 04:50:59.554, 100, 16602, 32768, 62, 285.82
2026/04/22 04:51:00.555, 100, 16602, 32768, 62, 300.15
2026/04/22 04:51:01.557, 100, 16602, 32768, 62, 279.51
2026/04/22 04:51:02.559, 100, 16602, 32768, 62, 288.60
2026/04/22 04:51:03.564, 93, 16602, 32768, 61, 287.16
2026/04/22 04:51:04.568, 92, 16602, 32768, 62, 283.52
2026/04/22 04:51:05.575, 93, 16602, 32768, 62, 301.59
2026/04/22 04:51:06.576, 94, 16602, 32768, 62, 293.18
2026/04/22 04:51:07.578, 94, 16602, 32768, 62, 289.84
2026/04/22 04:51:08.580, 94, 16602, 32768, 62, 290.79
2026/04/22 04:51:09.584, 94, 16602, 32768, 62, 283.81
2026/04/22 04:51:10.586, 94, 16602, 32768, 62, 271.08
2026/04/22 04:51:11.588, 94, 16602, 32768, 62, 300.35
2026/04/22 04:51:12.590, 94, 16602, 32768, 62, 290.99
2026/04/22 04:51:13.591, 94, 16602, 32768, 62, 292.23
2026/04/22 04:51:14.593, 94, 16602, 32768, 62, 290.31
2026/04/22 04:51:15.595, 94, 16602, 32768, 62, 279.32
2026/04/22 04:51:16.598, 94, 16602, 32768, 62, 280.17
2026/04/22 04:51:17.603, 94, 16602, 32768, 62, 297.76
2026/04/22 04:51:18.606, 93, 16602, 32768, 62, 297.96
2026/04/22 04:51:19.609, 93, 16602, 32768, 62, 298.92
2026/04/22 04:51:20.611, 94, 16602, 32768, 62, 294.14
2026/04/22 04:51:21.613, 92, 16602, 32768, 62, 277.78
2026/04/22 04:51:22.615, 92, 16602, 32768, 62, 273.65
2026/04/22 04:51:23.616, 92, 16602, 32768, 62, 291.27
2026/04/22 04:51:24.618, 93, 16602, 32768, 62, 292.70
2026/04/22 04:51:25.619, 94, 16602, 32768, 62, 291.08
2026/04/22 04:51:26.625, 94, 16602, 32768, 62, 285.34
2026/04/22 04:51:27.626, 94, 16602, 32768, 62, 282.85
2026/04/22 04:51:28.632, 94, 16602, 32768, 62, 269.46
